,open,high,low,close,results
2003-08-17,1.1265,1.1273,1.1229,1.1243,2
2003-08-18,1.1242,1.1245,1.1119,1.1138,2
2003-08-19,1.1138,1.115,1.1058,1.1105,2
2003-08-20,1.1105,1.1145,1.1084,1.1089,2
2003-08-21,1.1089,1.1091,1.0887,1.0929,2
2003-08-22,1.0929,1.095,1.0839,1.089,1
2003-08-24,1.0859999999999999,1.088,1.0855,1.0872,1
2003-08-25,1.0872,1.0921,1.08,1.0838,1
2003-08-26,1.0838,1.0911,1.0795,1.0864,1
2003-08-27,1.0864,1.0934,1.0833,1.0856,1
2003-08-28,1.0856,1.0916,1.0814,1.0877,1
2003-08-29,1.0877,1.1001,1.0873,1.099,2
2003-08-31,1.0998,1.1007,1.0976,1.0999,2
2003-09-01,1.0998,1.1017,1.0933,1.094,2
2003-09-02,1.094,1.0946,1.0766,1.08,1
2003-09-03,1.08,1.0875,1.077,1.0844,1
2003-09-04,1.0844,1.0961,1.0811,1.0956,1
2003-09-05,1.0957,1.1116,1.0918,1.1105,1
2003-09-07,1.1105,1.1112,1.1084,1.1085,1
2003-09-08,1.1085,1.1131,1.105,1.1099,1
2003-09-09,1.1099,1.1242,1.1085,1.1222,0
2003-09-10,1.1221,1.124,1.1164,1.1208,1
2003-09-11,1.1208,1.1273,1.1156,1.1189,1
2003-09-12,1.1189,1.1326,1.1137,1.1287,2
2003-09-14,1.1275,1.1286,1.1257,1.1279,2
2003-09-15,1.1278,1.1320000000000001,1.1247,1.1305,2
2003-09-16,1.1305,1.1314,1.1148,1.1155,1
2003-09-17,1.1155,1.1302,1.1142,1.1271,1
2003-09-18,1.1271,1.1347,1.123,1.1256,1
2003-09-19,1.1256,1.1385,1.124,1.1367,1
2003-09-21,1.1440000000000001,1.1499,1.1431,1.1465,0
2003-09-22,1.1465,1.1507,1.1416,1.1483,1
2003-09-23,1.1484,1.153,1.1431,1.1457,1
2003-09-24,1.1457,1.1506,1.143,1.1486,1
2003-09-25,1.1486,1.1539,1.1461,1.1479,1
2003-09-26,1.1479,1.1502,1.1441,1.1477,1
2003-09-28,1.1468,1.147,1.1434,1.1438,1
2003-09-29,1.1438,1.1642,1.1397,1.1622,1
2003-09-30,1.1622,1.1738,1.1618,1.1682,2
2003-10-01,1.1682,1.1772,1.1657,1.1757,2
2003-10-02,1.1757,1.1763,1.1664,1.1695,2
2003-10-03,1.1695,1.1722,1.1553,1.158,1
2003-10-05,1.1573,1.1597,1.1555,1.1568,1
2003-10-06,1.1568,1.1724,1.1537,1.171,1
2003-10-07,1.171,1.1816,1.1708,1.1788,2
2003-10-08,1.1787,1.1853,1.1772,1.1837,2
2003-10-09,1.1837,1.1861,1.1688,1.1738,1
2003-10-10,1.1738,1.1851,1.1705,1.1804,2
2003-10-12,1.1818,1.1823,1.1791,1.1807,2
2003-10-13,1.1807,1.1808,1.1609,1.163,1
2003-10-14,1.163,1.1768,1.1583,1.1716,2
2003-10-15,1.1716,1.1748,1.1591,1.1649,1
2003-10-16,1.1649,1.1698,1.1571,1.161,1
2003-10-17,1.161,1.1685,1.1546,1.1678,1
2003-10-19,1.1718,1.1739,1.1607,1.1628,1
2003-10-20,1.1627,1.1693,1.1611,1.1637,1
2003-10-21,1.1637,1.1701,1.1619,1.1674,1
2003-10-22,1.1674,1.183,1.1665,1.1824,2
2003-10-23,1.1824,1.1849,1.1757,1.1826,2
2003-10-24,1.1825,1.186,1.1765,1.1788,2
2003-10-26,1.1785,1.179,1.1723,1.1739,2
2003-10-27,1.1739,1.1786,1.1705,1.1714,2
2003-10-28,1.1714,1.1745,1.166,1.1688,2
2003-10-29,1.1687,1.1722,1.1662,1.1675,2
2003-10-30,1.1675,1.1757,1.1612,1.1622,2
2003-10-31,1.1622,1.1657,1.1603,1.1627,2
2003-11-02,1.1593,1.1595,1.1572,1.1576,2
2003-11-03,1.1576,1.1621,1.1429,1.1443,1
2003-11-04,1.1443,1.1514,1.1438,1.1486,1
2003-11-05,1.1486,1.15,1.1416,1.1440000000000001,1
2003-11-06,1.1440000000000001,1.1467,1.1391,1.1415,1
2003-11-07,1.1414,1.1546,1.1379,1.1529,1
2003-11-09,1.1520000000000001,1.1527,1.1501,1.1523,1
2003-11-10,1.1523,1.1538,1.1447,1.1482,1
2003-11-11,1.1483,1.1586,1.1459,1.1577,1
2003-11-12,1.1576,1.1662,1.1559,1.1658,1
2003-11-13,1.1658,1.1794,1.1643,1.1789,1
2003-11-14,1.1789,1.1806,1.1735,1.1778,1
2003-11-16,1.1798,1.1851,1.1792,1.1796,1
2003-11-17,1.1796,1.1840000000000002,1.173,1.1778,1
2003-11-18,1.1778,1.1982,1.1738,1.196,2
2003-11-19,1.1959,1.1974,1.1878,1.1912,2
